ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID	Chromosome.location	GO.Function	GO.Process	GO.Component	GO.Function.ID	GO.Process.ID	GO.Component.ID	
1423627_at	0.204342552855773	0.00144093470502087	-4.7892746900092	-0.640881626154881	-0.726484946388586	Nqo1	NAD(P)H dehydrogenase, quinone 1	18104	8 54.08 cM	NAD(P)H dehydrogenase (quinone) activity///NAD(P)H dehydrogenase (quinone) activity///oxidoreductase activity///poly(A) RNA binding///superoxide dismutase activity	negative regulation of catalytic activity///oxidation-reduction process///positive regulation of neuron apoptotic process///removal of superoxide radicals///response to oxidative stress///superoxide metabolic process	cytoplasm///cytosol///extracellular vesicular exosome///neuronal cell body	GO:0003955///GO:0003955///GO:0016491///GO:0044822///GO:0004784	GO:0043086///GO:0055114///GO:0043525///GO:0019430///GO:0006979///GO:0006801	GO:0005737///GO:0005829///GO:0070062///GO:0043025	
1419896_at	0.20567129892311	0.00146909323482895	-4.77397008708117	-0.658811870780614	-1.41310557524464	Tet1	tet methylcytosine dioxygenase 1	52463	10 32.48 cM	DNA binding///dioxygenase activity///iron ion binding///metal ion binding///methylcytosine dioxygenase activity///methylcytosine dioxygenase activity///oxidoreductase activity///protein binding///structure-specific DNA binding///zinc ion binding	DNA demethylation///DNA demethylation///DNA demethylation///chromatin modification///inner cell mass cell differentiation///negative regulation of methylation-dependent chromatin silencing///oxidation-reduction process///positive regulation of transcription from RNA polymerase II promoter///protein O-linked glycosylation///regulation of DNA methylation///regulation of transcription, DNA-templated///stem cell maintenance///transcription, DNA-templated	nucleus	GO:0003677///GO:0051213///GO:0005506///GO:0046872///GO:0070579///GO:0070579///GO:0016491///GO:0005515///GO:0043566///GO:0008270	GO:0080111///GO:0080111///GO:0080111///GO:0016568///GO:0001826///GO:0090310///GO:0055114///GO:0045944///GO:0006493///GO:0044030///GO:0006355///GO:0019827///GO:0006351	GO:0005634	
1425062_at	0.20567129892311	0.00147027513686683	-4.7733347188942	-0.659557125974984	-2.16236661004945	Fcrl1	Fc receptor-like 1	229499	3	molecular_function	biological_process	cellular_component///integral component of membrane///membrane///plasma membrane	GO:0003674	GO:0008150	GO:0005575///GO:0016021///GO:0016020///GO:0005886	
1423623_at	0.20567129892311	0.00147749765202587	-4.76946409578516	-0.664098696174359	-0.629973257610395	Mplkip	M-phase specific PLK1 intereacting protein	66308	13	molecular_function	biological_process///cell cycle///cell division///mitotic nuclear division	centrosome///cytoplasm///cytoskeleton///midbody///nucleus	GO:0003674	GO:0008150///GO:0007049///GO:0051301///GO:0007067	GO:0005813///GO:0005737///GO:0005856///GO:0030496///GO:0005634	
1450769_s_at	0.206140036400591	0.00148995002070061	-4.7628389537116	-0.67187833291055	-0.591587789371074	Stard5	StAR-related lipid transfer (START) domain containing 5	170460	7 47.43 cM	cholesterol binding///lipid binding	lipid transport///transport		GO:0015485///GO:0008289	GO:0006869///GO:0006810		
1431326_a_at	0.20695333343777	0.00150494931763914	-4.7549384676793	-0.681165572827188	-2.02446986429892	Tmod2	tropomodulin 2	50876	9 42.31 cM	actin binding///tropomyosin binding	learning or memory///neuron-neuron synaptic transmission///pointed-end actin filament capping///positive regulation of G-protein coupled receptor protein signaling pathway	cytoplasm///cytoskeleton///growth cone///neuron projection	GO:0003779///GO:0005523	GO:0007611///GO:0007270///GO:0051694///GO:0045745	GO:0005737///GO:0005856///GO:0030426///GO:0043005	
1416825_at	0.207981605538793	0.00152159305947288	-4.7462717015615	-0.69136613214499	-1.34743781841655	Snta1	syntrophin, acidic 1	20648	2 76.52 cM	ATPase binding///PDZ domain binding///actin binding///calmodulin binding///ion channel binding///ion channel binding///nitric-oxide synthase binding///protein binding///contributes_to sodium channel regulator activity	negative regulation of peptidyl-cysteine S-nitrosylation///neuromuscular junction development///regulation of heart rate///regulation of sodium ion transmembrane transport///regulation of vasoconstriction by circulating norepinephrine///regulation of ventricular cardiac muscle cell membrane repolarization///ventricular cardiac muscle cell action potential	cell junction///cytoplasm///cytoskeleton///intracellular///membrane///neuromuscular junction///plasma membrane///postsynaptic membrane///protein complex///sarcolemma///sarcolemma	GO:0051117///GO:0030165///GO:0003779///GO:0005516///GO:0044325///GO:0044325///GO:0050998///GO:0005515///contributes_to GO:0017080	GO:1902083///GO:0007528///GO:0002027///GO:1902305///GO:0003117///GO:0060307///GO:0086005	GO:0030054///GO:0005737///GO:0005856///GO:0005622///GO:0016020///GO:0031594///GO:0005886///GO:0045211///GO:0043234///GO:0042383///GO:0042383	
1423704_at	0.211101096760152	0.00156054124571247	-4.72638806423876	-0.714818228508376	-0.699770687486463	Pla2g15	phospholipase A2, group XV	192654	8	2,4,4-trimethyl-3-oxopentanoyl-CoA 2-C-propanoyl transferase activity///2,6-dimethyl-5-methylene-3-oxo-heptanoyl-CoA C-acetyltransferase activity///2-methylhexanoyl-CoA C-acetyltransferase activity///3-hydroxybutyryl-CoA thiolase activity///3-ketopimelyl-CoA thiolase activity///C-acyltransferase activity///C-palmitoyltransferase activity///L-2-aminoadipate N-acetyltransferase activity///N-acetyltransferase activity///N-acyltransferase activity///N-palmitoyltransferase activity///N-succinyltransferase activity///O-acetyltransferase activity///O-acyltransferase activity///O-octanoyltransferase activity///O-palmitoyltransferase activity///O-sinapoyltransferase activity///O-succinyltransferase activity///Ras palmitoyltransferase activity///S-acetyltransferase activity///S-acyltransferase activity///S-malonyltransferase activity///S-succinyltransferase activity///UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity///acetyl-CoA:L-lysine N6-acetyltransferase///acetyltransferase activity///acyl-CoA N-acyltransferase activity///acylglycerol O-acyltransferase activity///azetidine-2-carboxylic acid acetyltransferase activity///benzoyl acetate-CoA thiolase activity///butyryl-CoA 2-C-propionyltransferase activity///calcium-independent phospholipase A2 activity///calcium-independent phospholipase A2 activity///carnitine O-acyltransferase activity///dihydrolipoamide S-acyltransferase activity///dihydrolipoamide branched chain acyltransferase activity///ergosterol O-acyltransferase activity///glucosaminyl-phosphotidylinositol O-acyltransferase activity///hydrolase activity///keto acid formate lyase activity///lanosterol O-acyltransferase activity///NOT lysophospholipase activity///malonyltransferase activity///myristoyltransferase activity///naphthyl-2-oxomethyl-succinyl-CoA succinyl transferase activity///octanoyltransferase activity///palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity///palmitoyltransferase activity///peptidyl-lysine N-acetyltransferase activity, acting on acetyl phosphate as donor///peptidyl-lysine N6-myristoyltransferase activity///peptidyl-lysine N6-palmitoyltransferase activity///protein-cysteine S-acyltransferase activity///protein-cysteine S-myristoyltransferase activity///serine O-acyltransferase activity///sinapoyltransferase activity///sterol O-acyltransferase activity///succinyltransferase activity///transferase activity///transferase activity, transferring acyl groups	ceramide metabolic process///fatty acid metabolic process///lipid metabolic process///phosphatidylcholine metabolic process	extracellular region///extracellular vesicular exosome///lysosome///mitochondrion	GO:0034851///GO:0034945///GO:0034915///GO:0018712///GO:0018713///GO:0016408///GO:0016454///GO:0043741///GO:0008080///GO:0016410///GO:0019105///GO:0016749///GO:0016413///GO:0008374///GO:0016414///GO:0016416///GO:0016753///GO:0016750///GO:0043849///GO:0016418///GO:0016417///GO:0016419///GO:0016751///GO:0043764///GO:0090595///GO:0016407///GO:0019186///GO:0016411///GO:0046941///GO:0018711///GO:0034919///GO:0047499///GO:0047499///GO:0016406///GO:0030523///GO:0004147///GO:0034737///GO:0032216///GO:0016787///GO:0043806///GO:0034738///NOT GO:0004622///GO:0016420///GO:0019107///GO:0034848///GO:0016415///GO:0008951///GO:0016409///GO:0052858///GO:0018030///GO:0018031///GO:0019707///GO:0019705///GO:0016412///GO:0016752///GO:0004772///GO:0016748///GO:0016740///GO:0016746	GO:0006672///GO:0006631///GO:0006629///GO:0046470	GO:0005576///GO:0070062///GO:0005764///GO:0005739	
1434920_a_at	0.211101096760152	0.00156302266442069	-4.72513964465457	-0.716293002217932	-0.850246307095782	Evl	Ena-vasodilator stimulated phosphoprotein	14026	12 F2	SH3 domain binding///actin binding///profilin binding///protein binding	actin filament-based movement///actin nucleation///actin polymerization or depolymerization///axon guidance///barbed-end actin filament capping///negative regulation of epithelial cell migration///negative regulation of ruffle assembly///platelet activation///positive regulation of actin filament polymerization///positive regulation of stress fiber assembly///protein homotetramerization	cell projection///cytoplasm///cytoskeleton///focal adhesion///lamellipodium///membrane	GO:0017124///GO:0003779///GO:0005522///GO:0005515	GO:0030048///GO:0045010///GO:0008154///GO:0007411///GO:0051016///GO:0010633///GO:1900028///GO:0030168///GO:0030838///GO:0051496///GO:0051289	GO:0042995///GO:0005737///GO:0005856///GO:0005925///GO:0030027///GO:0016020	
1451779_at	0.211492172136548	0.00159493327577264	4.70927506240702	-0.735057743250037	1.25747946552241	Pyroxd1	pyridine nucleotide-disulphide oxidoreductase domain 1	232491	6	alkyl hydroperoxide reductase activity///molecular_function///oxidoreductase activity	oxidation-reduction process	cellular_component	GO:0008785///GO:0003674///GO:0016491	GO:0055114	GO:0005575	
1427861_at	0.211492172136548	0.00160739909790422	4.7031713376182	-0.742288983842388	1.03164967109256											
1424398_at	0.211492172136548	0.00161110758320844	4.7013654785938	-0.744429679311565	0.636781716496065	Dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	72162	3	ATP binding///ATP-dependent helicase activity///DNA binding///DNA-dependent ATPase activity///G-quadruplex DNA binding///G-quadruplex RNA binding///RNA binding///core promoter binding///double-stranded RNA binding///double-stranded RNA binding///helicase activity///histone deacetylase binding///hydrolase activity///nucleic acid binding///nucleotide binding///poly(A) RNA binding///protein binding///transcription regulatory region DNA binding	ATP catabolic process///RNA secondary structure unwinding///ossification///positive regulation of telomere maintenance///positive regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///response to exogenous dsRNA///response to virus///transcription, DNA-templated	chromosome///chromosome, telomeric region///cytoplasm///nucleus	GO:0005524///GO:0008026///GO:0003677///GO:0008094///GO:0051880///GO:0002151///GO:0003723///GO:0001047///GO:0003725///GO:0003725///GO:0004386///GO:0042826///GO:0016787///GO:0003676///GO:0000166///GO:0044822///GO:0005515///GO:0044212	GO:0006200///GO:0010501///GO:0001503///GO:0032206///GO:0045944///GO:0006355///GO:0043330///GO:0009615///GO:0006351	GO:0005694///GO:0000781///GO:0005737///GO:0005634	
1429379_at	0.211492172136548	0.00161742421619484	-4.69829997739861	-0.748064880000729	-1.32563970920003	Lyve1	lymphatic vessel endothelial hyaluronan receptor 1	114332	7 F2	hyaluronic acid binding///transmembrane signaling receptor activity	cell adhesion///glycosaminoglycan catabolic process///signal transduction///transport	cell periphery///extracellular vesicular exosome///integral component of membrane///membrane///plasma membrane	GO:0005540///GO:0004888	GO:0007155///GO:0006027///GO:0007165///GO:0006810	GO:0071944///GO:0070062///GO:0016021///GO:0016020///GO:0005886	
1418826_at	0.211492172136548	0.00162820410253664	-4.69309843914176	-0.754236839572368	-0.838264331787716	Ms4a6b	membrane-spanning 4-domains, subfamily A, member 6B	69774		molecular_function	biological_process	cellular_component///integral component of membrane///membrane	GO:0003674	GO:0008150	GO:0005575///GO:0016021///GO:0016020	
1451896_a_at	0.211492172136548	0.0016290889363483	4.69267315439041	-0.754741676293536	0.629493340453346	Cherp	calcium homeostasis endoplasmic reticulum protein	27967	8 35.08 cM	RNA binding///ion channel binding///nucleic acid binding///poly(A) RNA binding	RNA processing///cellular calcium ion homeostasis///negative regulation of cell proliferation///positive regulation of NFAT protein import into nucleus///release of sequestered calcium ion into cytosol	cytoplasm///cytosol///endoplasmic reticulum///membrane///perinuclear region of cytoplasm///sarcoplasmic reticulum membrane	GO:0003723///GO:0044325///GO:0003676///GO:0044822	GO:0006396///GO:0006874///GO:0008285///GO:0051533///GO:0051209	GO:0005737///GO:0005829///GO:0005783///GO:0016020///GO:0048471///GO:0033017	
1452257_at	0.211492172136548	0.00163279776744112	4.690893283598	-0.756854825027716	0.527941661564238	Bdh1	3-hydroxybutyrate dehydrogenase, type 1	71911	16	3-hydroxybutyrate dehydrogenase activity///catalytic activity///oxidoreductase activity///phospholipid binding	metabolic process///oxidation-reduction process	mitochondrial inner membrane///mitochondrial inner membrane///mitochondrion///mitochondrion///nucleus	GO:0003858///GO:0003824///GO:0016491///GO:0005543	GO:0008152///GO:0055114	GO:0005743///GO:0005743///GO:0005739///GO:0005739///GO:0005634	
1427892_at	0.211492172136548	0.00164048577770086	-4.68721779029507	-0.761220299946272	-1.83912795993794	Myo1g	myosin IG	246177	11	ATP binding///actin binding///calmodulin binding///molecular_function///motor activity///nucleotide binding	T cell migration///cell gliding///cell-substrate adhesion///exocytosis///phagocytosis	cell///extracellular vesicular exosome///filopodium///lamellipodium///leading edge membrane///membrane///microvillus///myosin complex///phagocytic cup///plasma membrane///plasma membrane	GO:0005524///GO:0003779///GO:0005516///GO:0003674///GO:0003774///GO:0000166	GO:0072678///GO:0071976///GO:0031589///GO:0006887///GO:0006909	GO:0005623///GO:0070062///GO:0030175///GO:0030027///GO:0031256///GO:0016020///GO:0005902///GO:0016459///GO:0001891///GO:0005886///GO:0005886	
1422600_at	0.211902071438165	0.00165723919053201	-4.67927289218617	-0.770664717411371	-2.07330614573731	Rasgrf1	RAS protein-specific guanine nucleotide-releasing factor 1	19417	9 47.31 cM	Rho guanyl-nucleotide exchange factor activity///glutamate receptor binding///guanyl-nucleotide exchange factor activity///protein C-terminus binding///protein binding///protein kinase binding	activation of Rac GTPase activity///cell proliferation///intracellular signal transduction///neuron projection development///positive regulation of Ras GTPase activity///positive regulation of Ras protein signal transduction///regulation of N-methyl-D-aspartate selective glutamate receptor activity///regulation of Rac protein signal transduction///regulation of Ras protein signal transduction///regulation of Rho protein signal transduction///regulation of neuronal synaptic plasticity///regulation of small GTPase mediated signal transduction///regulation of synaptic plasticity///small GTPase mediated signal transduction	cytosol///growth cone///intracellular	GO:0005089///GO:0035254///GO:0005085///GO:0008022///GO:0005515///GO:0019901	GO:0032863///GO:0008283///GO:0035556///GO:0031175///GO:0032320///GO:0046579///GO:2000310///GO:0035020///GO:0046578///GO:0035023///GO:0048168///GO:0051056///GO:0048167///GO:0007264	GO:0005829///GO:0030426///GO:0005622	
1417871_at	0.211902071438165	0.0016623432664607	4.67686978756752	-0.773523555871989	0.668330398713028	Hsd17b7	hydroxysteroid (17-beta) dehydrogenase 7	15490	1	3-keto sterol reductase activity///estradiol 17-beta-dehydrogenase activity///oxidoreductase activity///prolactin receptor binding	cholesterol biosynthetic process///lipid metabolic process///metabolic process///oxidation-reduction process///steroid biosynthetic process	endoplasmic reticulum///integral component of membrane///membrane///plasma membrane	GO:0000253///GO:0004303///GO:0016491///GO:0005148	GO:0006695///GO:0006629///GO:0008152///GO:0055114///GO:0006694	GO:0005783///GO:0016021///GO:0016020///GO:0005886	
1450484_a_at	0.212135913657457	0.00168215084726051	-4.66761949824322	-0.784537520732645	-1.60029140245515	Cmpk2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial	22169	12 9.69 cM	ATP binding///UMP kinase activity///cytidylate kinase activity///kinase activity///nucleoside diphosphate kinase activity///nucleotide binding///thymidylate kinase activity///transferase activity///uridylate kinase activity	cellular response to lipopolysaccharide///dTDP biosynthetic process///dUDP biosynthetic process///nucleoside diphosphate phosphorylation///nucleoside triphosphate biosynthetic process///phosphorylation///pyrimidine nucleotide biosynthetic process	mitochondrion///nucleus	GO:0005524///GO:0033862///GO:0004127///GO:0016301///GO:0004550///GO:0000166///GO:0004798///GO:0016740///GO:0009041	GO:0071222///GO:0006233///GO:0006227///GO:0006165///GO:0009142///GO:0016310///GO:0006221	GO:0005739///GO:0005634	
1422734_a_at	0.212135913657457	0.00168287635338661	-4.66728293728904	-0.784938532783692	-3.48921267421217	Myb	myeloblastosis oncogene	17863	10 9.75 cM	DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription///WD40-repeat domain binding///chromatin binding///protein binding///sequence-specific DNA binding transcription factor activity///sequence-specific DNA binding transcription factor activity	B cell differentiation///G1/S transition of mitotic cell cycle///calcium ion transport///cellular response to interleukin-6///chromatin remodeling///embryonic digestive tract development///homeostasis of number of cells///in utero embryonic development///negative regulation of transcription from RNA polymerase II promoter///negative regulation of transcription, DNA-templated///positive regulation of T-helper cell differentiation///positive regulation of histone H3-K4 methylation///positive regulation of histone H3-K9 methylation///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///regulation of gene expression///regulation of transcription, DNA-templated///regulation of transcription, DNA-templated///thymus development///transcription from RNA polymerase II promoter///transcription, DNA-templated	cytosol///nucleus	GO:0003677///GO:0000978///GO:0000978///GO:0001077///GO:0071987///GO:0003682///GO:0005515///GO:0003700///GO:0003700	GO:0030183///GO:0000082///GO:0006816///GO:0071354///GO:0006338///GO:0048566///GO:0048872///GO:0001701///GO:0000122///GO:0045892///GO:0045624///GO:0051571///GO:0051574///GO:0045944///GO:0045944///GO:0045944///GO:0045893///GO:0010468///GO:0006355///GO:0006355///GO:0048538///GO:0006366///GO:0006351	GO:0005829///GO:0005634	
1417793_at	0.212243616455559	0.00169840113950016	-4.66011865184476	-0.793479465669519	-1.19030653646171	Irgm2	immunity-related GTPase family M member 2	54396	11	GTPase activity	GTP catabolic process///defense response to bacterium///defense response to protozoan///response to interferon-gamma///response to interferon-gamma	Golgi apparatus///symbiont-containing vacuole	GO:0003924	GO:0006184///GO:0042742///GO:0042832///GO:0034341///GO:0034341	GO:0005794///GO:0020003	
1449846_at	0.212243616455559	0.00170243888033988	-4.65826702396526	-0.795688349711941	-0.667504204610124	Ear2	eosinophil-associated, ribonuclease A family, member 2	13587	14	endonuclease activity///hydrolase activity///molecular_function///nuclease activity///nucleic acid binding	chemotaxis	cellular_component	GO:0004519///GO:0016787///GO:0003674///GO:0004518///GO:0003676	GO:0006935	GO:0005575	
1430549_at	0.213508922070264	0.00172676627622046	4.6472112167218	-0.808889746396995	0.542123937291125	Bet1l	blocked early in transport 1 homolog (S. cerevisiae)-like	54399	7	SNAP receptor activity///SNAP receptor activity	protein transport///retrograde transport, endosome to Golgi///transport	Golgi apparatus///Golgi membrane///Golgi membrane///Golgi stack///endosome///integral component of Golgi membrane///integral component of membrane///membrane	GO:0005484///GO:0005484	GO:0015031///GO:0042147///GO:0006810	GO:0005794///GO:0000139///GO:0000139///GO:0005795///GO:0005768///GO:0030173///GO:0016021///GO:0016020	
1415906_at	0.213508922070264	0.00173140774177737	-4.64512113365636	-0.811387849469689	-0.49688313061902	Tmsb4x	thymosin, beta 4, X chromosome	19241	X 78.28 cM	actin binding///protein binding	actin cytoskeleton organization///cytoskeleton organization///positive regulation of smooth muscle cell differentiation///positive regulation of smooth muscle cell migration///positive regulation of transcription, DNA-templated///regulation of cell migration///sequestering of actin monomers	cytoplasm///cytoskeleton///cytosol///nucleus	GO:0003779///GO:0005515	GO:0030036///GO:0007010///GO:0051152///GO:0014911///GO:0045893///GO:0030334///GO:0042989	GO:0005737///GO:0005856///GO:0005829///GO:0005634	
1449912_at	0.219383812923138	0.00178930509784178	-4.61955078884694	-0.842011729407616	-0.859952752191952	Ssxb1	synovial sarcoma, X member B, breakpoint 1	67985	X	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575	
1417063_at	0.219383812923138	0.00180155898022507	-4.61425438173593	-0.848369154506194	-0.695609785429665	C1qb	complement component 1, q subcomponent, beta polypeptide	12260	4 69.05 cM	protein homodimerization activity	complement activation, classical pathway///immune system process///innate immune response///inner ear development	blood microparticle///collagen trimer///complement component C1 complex///extracellular region///extracellular vesicular exosome	GO:0042803	GO:0006958///GO:0002376///GO:0045087///GO:0048839	GO:0072562///GO:0005581///GO:0005602///GO:0005576///GO:0070062	
1420268_x_at	0.219383812923138	0.00180805522329779	-4.61146243785021	-0.851722374141674	-1.78478886797957	2610201A13Rik	RIKEN cDNA 2610201A13 gene	70434								
1423244_at	0.219567859288992	0.00183133852425834	4.6015447216666	-0.863644892859766	0.661010077324171	Cyp2c68	cytochrome P450, family 2, subfamily c, polypeptide 68	433247	19	metal ion binding///molecular_function///monooxygenase activity///oxidoreductase activity	biological_process///oxidation-reduction process	cellular_component	GO:0046872///GO:0003674///GO:0004497///GO:0016491	GO:0008150///GO:0055114	GO:0005575	
1422140_at	0.219567859288992	0.00183597463866304	-4.59958631497278	-0.866001209122079	-0.526260400680047	Gm7609	predicted pseudogene 7609	665378	1							
1421862_a_at	0.219567859288992	0.00184249523756998	-4.59684094468345	-0.869305511601365	-1.69751417184178	Vamp1	vesicle-associated membrane protein 1	22317	6 59.32 cM	SNAP receptor activity///SNARE binding	SNARE complex assembly///exocytosis///neurotransmitter secretion///vesicle fusion///vesicle-mediated transport	SNARE complex///cell junction///cell surface///cytoplasmic vesicle///integral component of membrane///membrane///mitochondrion///neuron projection///synapse///synaptic vesicle	GO:0005484///GO:0000149	GO:0035493///GO:0006887///GO:0007269///GO:0006906///GO:0016192	GO:0031201///GO:0030054///GO:0009986///GO:0031410///GO:0016021///GO:0016020///GO:0005739///GO:0043005///GO:0045202///GO:0008021	
1417267_s_at	0.219567859288992	0.00184827946779187	4.59441444235486	-0.872227122867582	1.06152184986903	Fkbp11	FK506 binding protein 11	66120	15 F2	FK506 binding///isomerase activity///peptidyl-prolyl cis-trans isomerase activity	chaperone-mediated protein folding///protein folding///protein peptidyl-prolyl isomerization	endoplasmic reticulum membrane///integral component of membrane///membrane	GO:0005528///GO:0016853///GO:0003755	GO:0061077///GO:0006457///GO:0000413	GO:0005789///GO:0016021///GO:0016020	
1423834_s_at	0.220046808429123	0.00186200913258668	4.58868773479402	-0.879126395559618	0.799382361262762	Gga1	golgi associated, gamma adaptin ear containing, ARF binding protein 1	106039	15 E2	protein binding	intracellular protein transport///positive regulation of protein catabolic process///protein transport///transport///vesicle-mediated transport	Golgi apparatus///clathrin adaptor complex///endosome///intracellular///intracellular membrane-bounded organelle///membrane///nucleus	GO:0005515	GO:0006886///GO:0045732///GO:0015031///GO:0006810///GO:0016192	GO:0005794///GO:0030131///GO:0005768///GO:0005622///GO:0043231///GO:0016020///GO:0005634	
1424797_a_at	0.220607593627164	0.00187647710753824	-4.58270257845079	-0.886343152614187	-1.94737271665875	Pitx2	paired-like homeodomain transcription factor 2	18741	3 57.84 cM	DNA binding///RNA polymerase II activating transcription factor binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription///RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription///RNA polymerase II transcription coactivator activity///RNA polymerase II transcription factor binding///RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription///chromatin DNA binding///chromatin binding///phosphoprotein binding///protein binding///protein homodimerization activity///sequence-specific DNA binding///sequence-specific DNA binding RNA polymerase II transcription factor activity///sequence-specific DNA binding transcription factor activity///sequence-specific DNA binding transcription factor activity///transcription factor binding///transcription regulatory region sequence-specific DNA binding	Wnt signaling pathway///anatomical structure morphogenesis///atrial cardiac muscle tissue morphogenesis///atrioventricular valve development///camera-type eye development///cardiac muscle cell differentiation///cardiac muscle tissue development///cardiac neural crest cell migration involved in outflow tract morphogenesis///cell proliferation involved in outflow tract morphogenesis///deltoid tuberosity development///deltoid tuberosity development///determination of left/right symmetry///digestive system development///embryonic camera-type eye development///embryonic digestive tract morphogenesis///embryonic hindlimb morphogenesis///endodermal digestive tract morphogenesis///extraocular skeletal muscle development///heart development///heart development///hypothalamus cell migration///in utero embryonic development///iris morphogenesis///left lung morphogenesis///left/right axis specification///lung development///multicellular organismal development///myoblast fusion///negative regulation of transcription from RNA polymerase II promoter///neuron migration///odontogenesis///odontogenesis///organ morphogenesis///patterning of blood vessels///pituitary gland development///positive regulation of DNA binding///positive regulation of myoblast proliferation///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///pulmonary myocardium development///pulmonary vein morphogenesis///regulation of cell migration///regulation of cell proliferation///regulation of transcription from RNA polymerase II promoter///regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///regulation of transcription, DNA-templated///skeletal muscle tissue development///spleen development///subthalamic nucleus development///superior vena cava morphogenesis///transcription from RNA polymerase II promoter///vascular smooth muscle cell differentiation///vasculogenesis///ventricular cardiac muscle cell development///ventricular septum morphogenesis	cytoplasm///nucleus///nucleus///transcription factor complex///transcription factor complex	GO:0003677///GO:0001102///GO:0000978///GO:0001078///GO:0001077///GO:0001105///GO:0001085///GO:0001191///GO:0031490///GO:0003682///GO:0051219///GO:0005515///GO:0042803///GO:0043565///GO:0000981///GO:0003700///GO:0003700///GO:0008134///GO:0000976	GO:0016055///GO:0009653///GO:0055009///GO:0003171///GO:0043010///GO:0055007///GO:0048738///GO:0003253///GO:0061325///GO:0035993///GO:0035993///GO:0007368///GO:0055123///GO:0031076///GO:0048557///GO:0035116///GO:0061031///GO:0002074///GO:0007507///GO:0007507///GO:0021855///GO:0001701///GO:0061072///GO:0060460///GO:0070986///GO:0030324///GO:0007275///GO:0007520///GO:0000122///GO:0001764///GO:0042476///GO:0042476///GO:0009887///GO:0001569///GO:0021983///GO:0043388///GO:2000288///GO:0045944///GO:0045944///GO:0045893///GO:0003350///GO:0060577///GO:0030334///GO:0042127///GO:0006357///GO:0006357///GO:0006355///GO:0006355///GO:0007519///GO:0048536///GO:0021763///GO:0060578///GO:0006366///GO:0035886///GO:0001570///GO:0055015///GO:0060412	GO:0005737///GO:0005634///GO:0005634///GO:0005667///GO:0005667	
1425296_a_at	0.221321774629743	0.00191440620316489	-4.56724724487418	-0.905007733176054	-0.650488961036665	Rgs3	regulator of G-protein signaling 3	50780	4 33.19 cM	GTPase activator activity///GTPase activator activity	G-protein coupled receptor signaling pathway///negative regulation of signal transduction///positive regulation of GTPase activity///regulation of G-protein coupled receptor protein signaling pathway///signal transduction///termination of G-protein coupled receptor signaling pathway	cytoplasm///cytoplasm///membrane///nucleus///plasma membrane///plasma membrane	GO:0005096///GO:0005096	GO:0007186///GO:0009968///GO:0043547///GO:0008277///GO:0007165///GO:0038032	GO:0005737///GO:0005737///GO:0016020///GO:0005634///GO:0005886///GO:0005886	
1449009_at	0.221321774629743	0.00192931124982244	-4.56126468836836	-0.912243734964662	-1.53637250013624	Tgtp2///Tgtp1	T cell specific GTPase 2///T cell specific GTPase 1	100039796///21822	11///11	molecular_function///GTP binding///GTPase activity	biological_process///GTP catabolic process///cellular response to interferon-beta///response to interferon-alpha///response to interferon-gamma	cellular_component///cellular_component	GO:0003674///GO:0005525///GO:0003924	GO:0008150///GO:0006184///GO:0035458///GO:0035455///GO:0034341	GO:0005575///GO:0005575	
